,G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
28,28,"Tue, Dec 26, 2023",7:00p,,,,Brooklyn Nets,,,,,,,,
29,29,"Thu, Dec 28, 2023",7:30p,,,@,Boston Celtics,,,,,,,,
30,30,"Sat, Dec 30, 2023",6:00p,,,,Toronto Raptors,,,,,,,,
31,31,"Mon, Jan 1, 2024",8:00p,,,@,Houston Rockets,,,,,,,,
32,32,"Wed, Jan 3, 2024",9:00p,,,@,Utah Jazz,,,,,,,,
33,33,"Fri, Jan 5, 2024",10:00p,,,@,Golden State Warriors,,,,,,,,
34,34,"Sun, Jan 7, 2024",8:00p,,,@,Denver Nuggets,,,,,,,,
35,35,"Tue, Jan 9, 2024",7:00p,,,,Sacramento Kings,,,,,,,,
36,36,"Wed, Jan 10, 2024",7:00p,,,,San Antonio Spurs,,,,,,,,
37,37,"Fri, Jan 12, 2024",7:30p,,,,Houston Rockets,,,,,,,,
38,38,"Mon, Jan 15, 2024",3:00p,,,@,Washington Wizards,,,,,,,,
39,39,"Wed, Jan 17, 2024",7:00p,,,,Minnesota Timberwolves,,,,,,,,
40,40,"Sat, Jan 20, 2024",3:00p,,,,Milwaukee Bucks,,,,,,,,
41,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
42,41,"Mon, Jan 22, 2024",7:00p,,,,Milwaukee Bucks,,,,,,,,
43,42,"Wed, Jan 24, 2024",7:00p,,,,Charlotte Hornets,,,,,,,,
44,43,"Sat, Jan 27, 2024",12:00p,,,,Washington Wizards,,,,,,,,
45,44,"Sun, Jan 28, 2024",6:00p,,,,Oklahoma City Thunder,,,,,,,,
46,45,"Wed, Jan 31, 2024",7:00p,,,@,Cleveland Cavaliers,,,,,,,,
47,46,"Fri, Feb 2, 2024",7:00p,,,,Los Angeles Clippers,,,,,,,,
48,47,"Sun, Feb 4, 2024",3:00p,,,,Orlando Magic,,,,,,,,
49,48,"Wed, Feb 7, 2024",10:00p,,,@,Sacramento Kings,,,,,,,,
50,49,"Thu, Feb 8, 2024",10:00p,,,@,Portland Trail Blazers,,,,,,,,
51,50,"Sat, Feb 10, 2024",3:30p,,,@,Los Angeles Clippers,,,,,,,,
52,51,"Tue, Feb 13, 2024",10:30p,,,@,Los Angeles Lakers,,,,,,,,
53,52,"Wed, Feb 14, 2024",9:00p,,,@,Phoenix Suns,,,,,,,,
54,53,"Thu, Feb 22, 2024",7:00p,,,@,Indiana Pacers,,,,,,,,
55,54,"Sat, Feb 24, 2024",8:00p,,,,Orlando Magic,,,,,,,,
56,55,"Mon, Feb 26, 2024",7:00p,,,,New York Knicks,,,,,,,,
57,56,"Tue, Feb 27, 2024",8:00p,,,@,Chicago Bulls,,,,,,,,
58,57,"Fri, Mar 1, 2024",7:00p,,,,Cleveland Cavaliers,,,,,,,,
59,58,"Sun, Mar 3, 2024",6:00p,,,@,Orlando Magic,,,,,,,,
60,59,"Tue, Mar 5, 2024",7:30p,,,@,Miami Heat,,,,,,,,
61,60,"Thu, Mar 7, 2024",7:00p,,,,Brooklyn Nets,,,,,,,,
62,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
63,61,"Sat, Mar 9, 2024",7:00p,,,,Dallas Mavericks,,,,,,,,
64,62,"Mon, Mar 11, 2024",7:00p,,,,Charlotte Hornets,,,,,,,,
65,63,"Wed, Mar 13, 2024",7:00p,,,,Toronto Raptors,,,,,,,,
66,64,"Fri, Mar 15, 2024",7:00p,,,,Miami Heat,,,,,,,,
67,65,"Sun, Mar 17, 2024",3:00p,,,,Miami Heat,,,,,,,,
68,66,"Mon, Mar 18, 2024",7:30p,,,@,Boston Celtics,,,,,,,,
69,67,"Wed, Mar 20, 2024",7:00p,,,,Indiana Pacers,,,,,,,,
70,68,"Fri, Mar 22, 2024",7:00p,,,,Boston Celtics,,,,,,,,
71,69,"Sun, Mar 24, 2024",3:00p,,,,New Orleans Pelicans,,,,,,,,
72,70,"Mon, Mar 25, 2024",7:30p,,,@,New York Knicks,,,,,,,,
73,71,"Wed, Mar 27, 2024",8:00p,,,@,Minnesota Timberwolves,,,,,,,,
74,72,"Fri, Mar 29, 2024",7:00p,,,@,Washington Wizards,,,,,,,,
75,73,"Mon, Apr 1, 2024",7:00p,,,,Memphis Grizzlies,,,,,,,,
76,74,"Wed, Apr 3, 2024",7:30p,,,@,Atlanta Hawks,,,,,,,,
77,75,"Fri, Apr 5, 2024",8:00p,,,@,Memphis Grizzlies,,,,,,,,
78,76,"Sat, Apr 6, 2024",7:00p,,,@,Brooklyn Nets,,,,,,,,
79,77,"Tue, Apr 9, 2024",7:00p,,,@,Philadelphia 76ers,,,,,,,,
80,78,"Thu, Apr 11, 2024",7:00p,,,,Chicago Bulls,,,,,,,,
81,79,"Fri, Apr 12, 2024",8:30p,,,@,Dallas Mavericks,,,,,,,,
82,80,"Sun, Apr 14, 2024",3:30p,,,@,San Antonio Spurs,,,,,,,,
