,G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
0,1,"Wed, Oct 19, 2022",7:30p,,Box Score,@,Miami Heat,W,,116,108,1,0,W 1,
1,2,"Fri, Oct 21, 2022",7:00p,,Box Score,@,Washington Wizards,L,,100,102,1,1,L 1,
2,3,"Sat, Oct 22, 2022",8:00p,,Box Score,,Cleveland Cavaliers,L,,96,128,1,2,L 2,
3,4,"Mon, Oct 24, 2022",8:00p,,Box Score,,Boston Celtics,W,,120,102,2,2,W 1,
4,5,"Wed, Oct 26, 2022",8:00p,,Box Score,,Indiana Pacers,W,,124,109,3,2,W 2,
5,6,"Fri, Oct 28, 2022",8:30p,,Box Score,@,San Antonio Spurs,L,,124,129,3,3,L 1,
6,7,"Sat, Oct 29, 2022",8:00p,,Box Score,,Philadelphia 76ers,L,,109,114,3,4,L 2,
7,8,"Tue, Nov 1, 2022",7:30p,,Box Score,@,Brooklyn Nets,W,,108,99,4,4,W 1,
8,9,"Wed, Nov 2, 2022",8:00p,,Box Score,,Charlotte Hornets,W,,106,88,5,4,W 2,
9,10,"Fri, Nov 4, 2022",7:30p,,Box Score,@,Boston Celtics,L,,119,123,5,5,L 1,
10,11,"Sun, Nov 6, 2022",6:00p,,Box Score,@,Toronto Raptors,L,,104,113,5,6,L 2,
11,12,"Mon, Nov 7, 2022",8:45p,,Box Score,,Toronto Raptors,W,,111,97,6,6,W 1,
12,13,"Wed, Nov 9, 2022",8:00p,,Box Score,,New Orleans Pelicans,L,,111,115,6,7,L 1,
13,14,"Sun, Nov 13, 2022",8:00p,,Box Score,,Denver Nuggets,L,,103,126,6,8,L 2,
14,15,"Wed, Nov 16, 2022",8:00p,,Box Score,@,New Orleans Pelicans,L,,110,124,6,9,L 3,
15,16,"Fri, Nov 18, 2022",8:00p,,Box Score,,Orlando Magic,L,,107,108,6,10,L 4,
16,17,"Mon, Nov 21, 2022",8:00p,,Box Score,,Boston Celtics,W,,121,107,7,10,W 1,
17,18,"Wed, Nov 23, 2022",8:00p,,Box Score,@,Milwaukee Bucks,W,,118,113,8,10,W 2,
18,19,"Fri, Nov 25, 2022",8:00p,,Box Score,@,Oklahoma City Thunder,L,OT,119,123,8,11,L 1,
19,20,"Mon, Nov 28, 2022",9:00p,,Box Score,@,Utah Jazz,W,,114,107,9,11,W 1,
20,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,21,"Wed, Nov 30, 2022",9:00p,,Box Score,@,Phoenix Suns,L,,113,132,9,12,L 1,
22,22,"Fri, Dec 2, 2022",10:00p,,Box Score,@,Golden State Warriors,L,,111,119,9,13,L 2,
23,23,"Sun, Dec 4, 2022",6:00p,,Box Score,@,Sacramento Kings,L,,101,110,9,14,L 3,
24,24,"Wed, Dec 7, 2022",8:00p,,Box Score,,Washington Wizards,W,,115,111,10,14,W 1,
25,25,"Sat, Dec 10, 2022",8:00p,,Box Score,,Dallas Mavericks,W,,144,115,11,14,W 2,
26,26,"Sun, Dec 11, 2022",6:30p,,Box Score,@,Atlanta Hawks,L,OT,122,123,11,15,L 1,
27,27,"Wed, Dec 14, 2022",7:30p,,Box Score,,New York Knicks,L,OT,120,128,11,16,L 2,
28,28,"Fri, Dec 16, 2022",8:00p,,Box Score,,New York Knicks,L,,91,114,11,17,L 3,
29,29,"Sun, Dec 18, 2022",7:00p,,Box Score,@,Minnesota Timberwolves,L,,126,150,11,18,L 4,
30,30,"Tue, Dec 20, 2022",7:30p,,Box Score,@,Miami Heat,W,,113,103,12,18,W 1,
31,31,"Wed, Dec 21, 2022",7:30p,,Box Score,@,Atlanta Hawks,W,,110,108,13,18,W 2,
32,32,"Fri, Dec 23, 2022",7:30p,,Box Score,@,New York Knicks,W,,118,117,14,18,W 3,
33,33,"Mon, Dec 26, 2022",8:00p,,Box Score,,Houston Rockets,L,,118,133,14,19,L 1,
34,34,"Wed, Dec 28, 2022",8:00p,,Box Score,,Milwaukee Bucks,W,OT,119,113,15,19,W 1,
35,35,"Fri, Dec 30, 2022",8:00p,,Box Score,,Detroit Pistons,W,,132,118,16,19,W 2,
36,36,"Sat, Dec 31, 2022",7:00p,,Box Score,,Cleveland Cavaliers,L,,102,103,16,20,L 1,
37,37,"Mon, Jan 2, 2023",7:00p,,Box Score,@,Cleveland Cavaliers,L,OT,134,145,16,21,L 2,
38,38,"Wed, Jan 4, 2023",8:00p,,Box Score,,Brooklyn Nets,W,,121,112,17,21,W 1,
39,39,"Fri, Jan 6, 2023",7:00p,,Box Score,@,Philadelphia 76ers,W,,126,112,18,21,W 2,
40,40,"Sat, Jan 7, 2023",8:00p,,Box Score,,Utah Jazz,W,,126,118,19,21,W 3,
41,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
42,41,"Mon, Jan 9, 2023",7:30p,,Box Score,@,Boston Celtics,L,,99,107,19,22,L 1,
43,42,"Wed, Jan 11, 2023",7:00p,,Box Score,@,Washington Wizards,L,,97,100,19,23,L 2,
44,43,"Fri, Jan 13, 2023",8:00p,,Box Score,,Oklahoma City Thunder,L,,110,124,19,24,L 3,
45,44,"Sun, Jan 15, 2023",3:30p,,Box Score,,Golden State Warriors,W,,132,118,20,24,W 1,
46,45,"Thu, Jan 19, 2023",3:00p,,Box Score,@,Detroit Pistons,W,,126,108,21,24,W 2,
47,46,"Mon, Jan 23, 2023",8:00p,,Box Score,,Atlanta Hawks,W,,111,100,22,24,W 3,
48,47,"Tue, Jan 24, 2023",7:00p,,Box Score,@,Indiana Pacers,L,,110,116,22,25,L 1,
49,48,"Thu, Jan 26, 2023",7:30p,,Box Score,@,Charlotte Hornets,L,,96,111,22,26,L 2,
50,49,"Sat, Jan 28, 2023",7:00p,,Box Score,@,Orlando Magic,W,,128,109,23,26,W 1,
51,50,"Tue, Jan 31, 2023",8:00p,,Box Score,,Los Angeles Clippers,L,,103,108,23,27,L 1,
52,51,"Thu, Feb 2, 2023",8:00p,,Box Score,,Charlotte Hornets,W,,114,98,24,27,W 1,
53,52,"Sat, Feb 4, 2023",8:00p,,Box Score,,Portland Trail Blazers,W,,129,121,25,27,W 2,
54,53,"Mon, Feb 6, 2023",8:00p,,Box Score,,San Antonio Spurs,W,,128,104,26,27,W 3,
55,54,"Tue, Feb 7, 2023",8:00p,,Box Score,@,Memphis Grizzlies,L,,89,104,26,28,L 1,
56,55,"Thu, Feb 9, 2023",7:30p,,Box Score,@,Brooklyn Nets,L,,105,116,26,29,L 2,
57,56,"Sat, Feb 11, 2023",8:00p,,Box Score,@,Cleveland Cavaliers,L,,89,97,26,30,L 3,
58,57,"Mon, Feb 13, 2023",8:00p,,Box Score,,Orlando Magic,L,,91,100,26,31,L 4,
59,58,"Wed, Feb 15, 2023",7:00p,,Box Score,@,Indiana Pacers,L,,113,117,26,32,L 5,
60,59,"Thu, Feb 16, 2023",7:30p,,Box Score,,Milwaukee Bucks,L,,100,112,26,33,L 6,
61,60,"Fri, Feb 24, 2023",8:00p,,Box Score,,Brooklyn Nets,W,,131,87,27,33,W 1,
62,G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
63,61,"Sun, Feb 26, 2023",3:30p,,Box Score,,Washington Wizards,W,,102,82,28,33,W 2,
64,62,"Tue, Feb 28, 2023",7:30p,,Box Score,@,Toronto Raptors,L,,98,104,28,34,L 1,
65,63,"Wed, Mar 1, 2023",7:00p,,Box Score,@,Detroit Pistons,W,,117,115,29,34,W 1,
66,64,"Fri, Mar 3, 2023",8:00p,,Box Score,,Phoenix Suns,L,,104,125,29,35,L 1,
67,65,"Sun, Mar 5, 2023",3:30p,,Box Score,,Indiana Pacers,L,,122,125,29,36,L 2,
68,66,"Wed, Mar 8, 2023",9:00p,,Box Score,@,Denver Nuggets,W,,117,96,30,36,W 1,
69,67,"Sat, Mar 11, 2023",8:00p,,Box Score,@,Houston Rockets,W,,119,111,31,36,W 2,
70,68,"Wed, Mar 15, 2023",8:00p,,Box Score,,Sacramento Kings,L,,114,117,31,37,L 1,
71,69,"Fri, Mar 17, 2023",8:00p,,Box Score,,Minnesota Timberwolves,W,2OT,139,131,32,37,W 1,
72,70,"Sat, Mar 18, 2023",8:00p,,Box Score,,Miami Heat,W,,113,99,33,37,W 2,
73,71,"Mon, Mar 20, 2023",7:00p,,Box Score,@,Philadelphia 76ers,W,2OT,109,105,34,37,W 3,
74,72,"Wed, Mar 22, 2023",8:00p,,Box Score,,Philadelphia 76ers,L,,91,116,34,38,L 1,
75,73,"Fri, Mar 24, 2023",10:00p,,Box Score,@,Portland Trail Blazers,W,,124,96,35,38,W 1,
76,74,"Sun, Mar 26, 2023",3:30p,,Box Score,@,Los Angeles Lakers,W,,118,108,36,38,W 2,
77,75,"Mon, Mar 27, 2023",10:30p,,Box Score,@,Los Angeles Clippers,L,,112,124,36,39,L 1,
78,76,"Wed, Mar 29, 2023",8:00p,,Box Score,,Los Angeles Lakers,L,,110,121,36,40,L 2,
79,77,"Fri, Mar 31, 2023",7:00p,,Box Score,@,Charlotte Hornets,W,,121,91,37,40,W 1,
80,78,"Sun, Apr 2, 2023",3:30p,,Box Score,,Memphis Grizzlies,W,,128,107,38,40,W 2,
81,79,"Tue, Apr 4, 2023",8:00p,,Box Score,,Atlanta Hawks,L,,105,123,38,41,L 1,
